"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00417588","RICHARDSON, TX US","1977-03-01","68",",,0","40",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-02",,,"47",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-03","63",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-04","63",",,0","39",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-05","54",",,0","32",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-06","68",",,0","36",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-07","75",",,0","40",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-08","76",",,0","48",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-09","65",",,0","48",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-10","72",",,0","55",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-11","67",",,0","45",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-13","82",",,0","44",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-14","80",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-15","78",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-16","70",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-17","77",",,0","63",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-18","78",",,0","56",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-19","81",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-20","71",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-21","66",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-22","71",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-23","74",",,0","42",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-24","55",",,0","51",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-25","60",",I,0","54",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-26","65",",,0","62",",I,0",,
"USC00417588","RICHARDSON, TX US","1977-03-27","70",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-28","80",",,0","54",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-29","83",",,0","55",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-30","75",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1977-03-31","68",",,0","47",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-01","69",",,0","41",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-02","59",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-03","62",",,0","32",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-04","58",",,0","32",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-05","68",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-06","73",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-07","70",",,0","40",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-08","70",",,0","40",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-09","68",",,0","48",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-10","63",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-11","76",",,0","41",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-12","74",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-13","85",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-14","62",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-15","50",",,0","43",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-16","50",",,0","44",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-17","63",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-18","69",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-19","70",",,0","55",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-20","70",",,0","56",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-21","76",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-22","76",",,0","46",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-23","62",",,0","42",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-24","60",",,0","37",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-25","75",",,0","38",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-26","80",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-27","76",",,0","51",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-28","70",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-29","70",",,0","57",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-30","82",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1979-03-31","73",",,0","43",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-01","80",",,0","46",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-02","58",",,0","45",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-03","56",",,0","42",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-04","66",",,0","41",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-05","78",",,0","47",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-06","81",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-07","72",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-08","83",",,0","50",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-09","75",",,0","55",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-10","77",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-11","79",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-12","82",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-13","80",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-14","86",",,0","56",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-15","88",",,0","61",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-16","84",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-17","78",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-18","72",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-19","78",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-20","78",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-21","72",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-22","67",",,0","59",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-23","78",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-24","84",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-25","88",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-26","87",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-27","76",",,0","44",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-28","72",",,0","44",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-29","74",",,0","53",",,0",,
"USC00417588","RICHARDSON, TX US","1979-04-30","78",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-01","77",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-02","76",",,0","66",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-03","70",",,0","52",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-04","58",",,0","48",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-05","81",",,0","49",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-06","80",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-07","86",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-08","86",",,0","69",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-09","82",",,0","70",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-10","89",",,0","54",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-11","59",",,0","47",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-12","73",",,0","48",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-13","87",",,0","58",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-14","86",",,0","59",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-15","88",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-16","88",",,0","65",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-17","86",",,0","66",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-18","86",",,0","67",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-19","84",",,0","70",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-20","85",",,0","66",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-21","84",",,0","62",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-22","72",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-23","86",",,0","60",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-24","76",",,0","54",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-25","82",",,0","61",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-26","85",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-27","89",",,0","69",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-28","90",",,0","65",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-29","77",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-30","78",",,0","64",",,0",,
"USC00417588","RICHARDSON, TX US","1979-05-31","86",",,0","67",",,0",,
"USC00417588","RICHARDSON, TX US","1979-10-01","100",",,0","59",",,0","60",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-02","94",",,0","59",",,0","65",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-03","90",",,0","57",",,0","57",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-04","82",",,0","52",",,0","54",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-05","90",",,0","53",",,0","62",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-06","96",",,0","60",",,0","61",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-07","94",",,0","60",",,0","72",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-08","93",",,0","70",",,0","72",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-09","77",",,0","41",",,0","41",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-10","74",",,0","41",",,0","54",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-11","96",",,0","54",",,0","60",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-12","94",",,0","60",",,0","66",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-13","79",",,0","57",",,0","58",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-14","76",",,0","57",",,0","63",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-15","74",",,0","62",",,0","68",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-16","86",",,0","68",",,0","72",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-17","84",",,0","65",",,0","67",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-18","86",",,0","66",",,0","67",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-19","86",",,0","66",",,0","75",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-20","87",",,0","75",",,0","75",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-21","88",",,0","52",",,0","52",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-22","66",",,0","47",",,0","48",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-23","78",",,0","47",",,0","49",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-24","84",",,0","48",",,0","50",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-25","82",",,0","49",",,0","53",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-26","80",",,0","52",",,0","60",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-27","82",",,0","58",",,0","63",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-28","85",",,0","58",",,0","64",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-29","81",",,0","62",",,0","72",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-30","73",",,0","46",",,0","48",",,0,"
"USC00417588","RICHARDSON, TX US","1979-10-31","64",",,0","40",",,0","44",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-01","66",",,0","44",",,0","46",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-02","70",",,0","42",",,0","45",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-03","73",",,0","44",",,0","50",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-04","70",",,0","49",",,0","57",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-05","66",",,0","42",",,0","44",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-06","61",",,0","38",",,0","47",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-07","60",",,0","36",",,0","50",",I,0,"
"USC00417588","RICHARDSON, TX US","1979-11-08","68",",,0","53",",I,0","61",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-09","61",",,0","34",",,0","36",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-10","53",",,0","36",",,0","39",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-11","64",",,0","38",",,0","41",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-12","54",",,0","35",",,0","41",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-13","64",",,0","36",",,0","44",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-14","68",",,0","35",",,0","38",",,0,"
"USC00417588","RICHARDSON, TX US","1979-11-15","71",",,0","37",",,0","38",",,0,"
